# Coordinates

10000 atoms
3 atom types

  0.0      55.969 xlo xhi
  0.0      55.969 ylo yhi
  0.0      55.969 zlo zhi

Masses

1 91.2240   # Zr
2 63.5463   # Cu
3 26.9815   # Al

Atoms

1 1   2.304983   4.097658   2.023285
2 1   0.903804   1.335723   1.396919
3 2   2.732664   0.613734   3.400206
4 1   4.421820   2.467321   2.760760
5 1   1.046318   2.627677   4.586895
6 2   0.924031   6.268136   0.075860
7 1   7.520219   3.338719   2.371938
8 2   6.510090   0.842764   1.639836
9 2   5.742811   4.192643   4.344381
10 1   6.863534   1.460561   4.491406
11 1   9.971213  13.691081   5.170842
12 1   9.210762   0.506906   1.165420
13 2  12.566216   1.960202   2.830112
14 2  10.637580   2.772508   1.141387
15 1  10.211824   2.348622   3.947706
16 1  12.142363   4.608974   2.488477
17 2   0.853024   5.358987   3.738237
18 1   2.399134   7.307872   2.117458
19 2   4.131346   9.407102   1.621567
20 1   0.258008   9.466485   3.464694
21 1   3.936871   0.038148   0.499440
22 2   4.828664   5.221611   2.308772
23 2   4.832274   7.376602   3.782906
24 2   5.392406   7.394568   1.267161
25 1   7.368319   6.341847   3.185750
26 1   8.307982   7.933718   0.685525
27 2   6.758089   5.299733   0.537813
28 3   8.893138   8.967073   3.510577
29 2   6.314367   9.156360   2.863777
30 2   9.369602   5.124163   1.203843
31 2   9.696126   5.014257   3.449140
32 2  10.450364   7.216027   2.890161
33 2  12.900910   7.481600   2.099291
34 2  11.088914   6.897004   0.532849
35 2  11.268966   9.080355   4.071420
36 1   3.102809  13.876842   4.460964
37 1   2.378811  11.163073   2.045723
38 2   1.611801  11.626216   4.675404
39 1   3.587193   9.732729   4.611588
40 1   0.270514  14.109505   5.755908
41 1   8.155803  13.264765   2.243137
42 1   5.320503  11.852835   2.457767
43 2   7.986832  10.552619   1.711409
44 2   7.496152  11.083093   4.197832
45 2   7.399717  13.520431   4.972974
46 1  11.132962   9.749856   1.461306
47 2   9.783493  11.331372   3.354250
48 2  12.943335  12.182436   1.009434
49 1  12.409559  11.989511   3.704594
50 2  10.514448  12.243387   1.147420
51 1   2.246999   0.209240   6.580387
52 2   2.635144   2.889534   7.207800
53 2   4.000256   2.251084   5.371781
54 1   1.181853   4.112513   8.989573
55 1   0.358814   4.678404   6.279778
56 1  12.913000  10.383089   7.501021
57 1   4.782725   0.849302   8.222854
58 2   7.010565   0.585352   6.960081
59 2   8.689523   2.403292   6.237521
60 1   5.904506   3.378574   6.820494
61 2   8.128826   4.278483   5.134814
62 1   8.847635   4.646323   8.012802
63 1   8.842822   1.480470   8.946309
64 2  12.998968  12.913559   8.485404
65 1  13.343905   2.849281   0.119664
66 2  11.995612   0.459876   4.980961
67 1  13.371386   3.203257   5.363812
68 2  13.384203   3.401673   8.534713
69 1  11.140070   2.352260   7.244795
70 2  10.669818   4.467418   5.713819
71 2  13.314913   0.490166   6.899243
72 1  10.164698  12.589555   8.332665
73 2   1.926699   7.413654   4.790667
74 1   3.377987   5.079103   5.031182
75 2   3.954669   5.330488   7.669656
76 1   1.811084   7.040508   7.676596
77 2   4.316329   7.670887   6.377947
78 2   0.373324   9.192740   8.794633
79 2   1.069165   9.229568   6.062002
80 2   6.216253   5.311318   8.918492
81 2   6.242782   6.107337   5.920681
